[Spectrum]
Version            = 1
IDData             = DLAB_2022-07-25_11-20-03_546_522
IDDevice           = SAM_8799
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2022-07-25 11:13:21
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station_2
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $03 $05 Intensity counts
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 12 0 0
 1 0.0206625069989527 0.0266603610375441 0
 2 0.0205428097986929 0.0268269628134619 0
 3 0.0205270939971661 0.0267804654867183 0
 4 0.0204936616714168 0.0267467015700169 0
 5 0.0205415171018712 0.0269032094847752 0
 6 0.0205344148590825 0.026873552832518 0
 7 0.0205409624408919 0.0268034025572883 0
 8 0.0205327421523166 0.0267469300714049 0
 9 0.0205419658555796 0.0268896833896277 0
 10 0.0205123472384451 0.0268168106486633 0
 11 0.0205355264492365 0.026886127391328 0
 12 0.0205206852986973 0.0267326804176224 0
 13 0.0205264255774707 0.0266494692544255 0
 14 0.0205167588782257 0.0267634881303473 0
 15 0.0205489840006671 0.0267866839014957 0
 16 0.0205199418540817 0.0270023007089078 0
 17 0.0205247092515651 0.0269326589321832 0
 18 0.0205148954685814 0.0268441074000313 0
 19 0.0205388495297689 0.0267722691122564 0
 20 0.020509419172841 0.0271543646295218 0
 21 0.0205367336525445 0.0270407729063092 0
 22 0.0205123690480149 0.0267812668999133 0
 23 0.0205472500526291 0.0268744657906992 0
 24 0.0205209993565025 0.0268761639278284 0
 25 0.020542947635174 0.0270553971697009 0
 26 0.0205253654579014 0.0268491047550616 0
 27 0.0205401101229038 0.0266257683014462 0
 28 0.0205298864944843 0.0267420997720111 0
 29 0.0205383540163429 0.0267319229939996 0
 30 0.0205338917783603 0.0266083295782545 0
 31 0.0205453580288292 0.0270174200295465 0
 32 0.0205302014246723 0.0267290922999527 0
 33 0.0205451013738117 0.0268704423159159 0
 34 0.0205246356224574 0.0268304205334718 0
 35 0.0205456056110656 0.0267885606153398 0
 36 0.0205297296400582 0.0269651899189356 0
 37 0.020537274006446 0.0266188146323937 0
 38 0.0205332010256653 0.0269269860230112 0
 39 0.0205523798379244 0.0267664862291543 0
 40 0.0205275467638353 0.0268346402157112 0
 41 0.0205445999281827 0.0267395167811496 0
 42 0.0205320573318246 0.026670501157579 0
 43 0.0205407263741083 0.0268193587271661 0
 44 0.020531066130496 0.0268960945206253 0
 45 0.0205599994037089 0.0269469309298752 0
 46 0.0205589696430609 0.0265785102344056 0
 47 0.0205372214890019 0.0268894184048248 0
 48 0.0205369862946011 0.0266954509256305 0
 49 0.020547658676729 0.0269129056941687 0
 50 0.020551495241773 0.026783854778505 0
 51 0.0205604253009881 0.0267189715562769 0
 52 0.0205344523715426 0.0266794465766977 0
 53 0.020552199429163 0.0268333542189769 0
 54 0.0205363112447965 0.0271265248164136 0
 55 0.0205624387604727 0.0270231336116165 0
 56 0.0205424898086846 0.0268104471730354 0
 57 0.0205548144838212 0.0268675487796233 0
 58 0.0205513341999096 0.0267245611994734 0
 59 0.0205412396841433 0.0266037955102246 0
 60 0.0205550566572843 0.0267074480340269 0
 61 0.0205624593487066 0.0268063138988839 0
 62 0.0205447749281708 0.0266965621860093 0
 63 0.0205613133866707 0.0267645388177837 0
 64 0.0205407830789898 0.0266975570136717 0
 65 0.0205630691442785 0.0266898750728158 0
 66 0.0205593716370516 0.0266723640810415 0
 67 0.0205653041889923 0.0266814982014592 0
 68 0.0205442373658942 0.0268933092126449 0
 69 0.020548985222003 0.0268086160198193 0
 70 0.0205396821319059 0.0267125358120664 0
 71 0.0205638628381429 0.0268023178303022 0
 72 0.0205438447936376 0.0270436152959962 0
 73 0.0205698093482083 0.0268523269912117 0
 74 0.0205400370172258 0.026803091488172 0
 75 0.0205677988548252 0.0269049861747116 0
 76 0.0205490541402436 0.0267954535368881 0
 77 0.0205756555342527 0.02668207635012 0
 78 0.0205419525953611 0.0267314396323928 0
 79 0.0205688460631291 0.0266596933386832 0
 80 0.0205469838014009 0.0269022040088434 0
 81 0.0205684465118102 0.0268644630507959 0
 82 0.0205598092242602 0.026807809020647 0
 83 0.0205676939944136 0.0269319023813693 0
 84 0.0205480765480865 0.0268043039943911 0
 85 0.0205776253745977 0.0268521826286084 0
 86 0.0205534896833128 0.026566303477295 0
 87 0.0205769112420439 0.0268132883407898 0
 88 0.0205466604963381 0.0268198881730864 0
 89 0.0205628655301347 0.0268667262444514 0
 90 0.0205573585265201 0.0267193271386507 0
 91 0.0205621287156284 0.026850981294344 0
 92 0.0205618537405722 0.0269379731168691 0
 93 0.020564204986674 0.0272546383352451 0
 94 0.0205548696184136 0.0266656153475348 0
 95 0.0205645884861495 0.0268181856719123 0
 96 0.0205637644333639 0.0268053091211993 0
 97 0.0205779422240279 0.0268935408561451 0
 98 0.020560271238187 0.0268914607778113 0
 99 0.0205730952652338 0.0268066226986969 0
